id,name,sub_title,place,actor,date,open_time,start_time,close_time,time_original,max_price,min_price,price_text,link,inquiry,detail,num_of_people,input_table,input_table_rec_id
24,第4回 接着・接合 EXPO,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-04,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.joining-expo.jp,https://www.m-messe.co.jp/event/detail/6352,接着・粘着剤などの材料から溶接・摩擦撹拌・超音波・拡散などの接合装置・技術が一堂に出展します。,,csv,24
25,第3回 高機能 塗料展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-02,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.coating-japan.jp,https://www.m-messe.co.jp/event/detail/6353,自動車、エレクトロニクス、建築をはじめとした様々な分野で必要不可欠な「塗料・コーティング技術」に特化した総合展です。工業用、建築用に限らず、塗料・塗装・コーティングに関するあらゆる製品が出展します。,,csv,25
26,第3回 高機能 塗料展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-03,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.coating-japan.jp,https://www.m-messe.co.jp/event/detail/6353,自動車、エレクトロニクス、建築をはじめとした様々な分野で必要不可欠な「塗料・コーティング技術」に特化した総合展です。工業用、建築用に限らず、塗料・塗装・コーティングに関するあらゆる製品が出展します。,,csv,26
27,第3回 高機能 塗料展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-04,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.coating-japan.jp,https://www.m-messe.co.jp/event/detail/6353,自動車、エレクトロニクス、建築をはじめとした様々な分野で必要不可欠な「塗料・コーティング技術」に特化した総合展です。工業用、建築用に限らず、塗料・塗装・コーティングに関するあらゆる製品が出展します。,,csv,27
28,"King Gnu Live Tour 2020 AW “CEREMONY""",音楽イベント,国際展示場 展示ホール4〜7,HOT STUFF PROMOTION,2020-12-06,,,,（OPEN 16:00 / START 18:00）,0,0,,https://www.red-hot.ne.jp/sp/kinggnu/,https://www.m-messe.co.jp/event/detail/6498,King Gnuワンマンライブ,,csv,28
29,エヴァンゲリオンワンフェス,展示会・見本市,国際展示場 展示ホール8,ワンダーフェスティバル実行委員会,2020-12-06,10:00,10:00,17:00,10:00～17:00,0,0,,https://wonfes.jp/,https://www.m-messe.co.jp/event/detail/6384,エヴァンゲリオン作品限定のガレージキット等の展示・即売イベント,,csv,29
30,プリパラ&キラッとプリ☆チャン Winter Live 2020,音楽イベント,幕張イベントホール,エイベックスピクチャーズ,2020-12-06,,,,（昼の部:【開場】11:30 【開演】13:00夜の部:【開場】16:30 【開演】18:00）,0,0,,https://avex.jp/prichan/news/detail.php?id=1087024&artist_cd=KIRAP,https://www.m-messe.co.jp/event/detail/6516,「アイドルタイムプリパラ」、「キラッとプリ☆チャン」のアイドルたちが今年も幕張メッセイベントホールに大集合!,,csv,30
31,家具メッセバザールin幕張メッセ,展示会・見本市,国際展示場 展示ホール7,株式会社かねたや家具店,2020-12-11,10:00,10:00,18:00,10:00～18:00（12/11(金)10:00～18:0012/12(土)10:00～19:0012/13(日)10:00～18:00）,0,0,,http://www.kanetaya.com,https://www.m-messe.co.jp/event/detail/6481,国内最大級6.800㎡に家具・インテリアが大集合 リビング・ダイニング・ベッドはもちろんカーテン、新作家具や新型デスク多数展示。人気のアウトレットコーナーは毎日商品を入れ替えております。,,csv,31
32,家具メッセバザールin幕張メッセ,展示会・見本市,国際展示場 展示ホール7,株式会社かねたや家具店,2020-12-12,10:00,10:00,18:00,10:00～18:00（12/11(金)10:00～18:0012/12(土)10:00～19:0012/13(日)10:00～18:00）,0,0,,http://www.kanetaya.com,https://www.m-messe.co.jp/event/detail/6481,国内最大級6.800㎡に家具・インテリアが大集合 リビング・ダイニング・ベッドはもちろんカーテン、新作家具や新型デスク多数展示。人気のアウトレットコーナーは毎日商品を入れ替えております。,,csv,32
33,家具メッセバザールin幕張メッセ,展示会・見本市,国際展示場 展示ホール7,株式会社かねたや家具店,2020-12-13,10:00,10:00,18:00,10:00～18:00（12/11(金)10:00～18:0012/12(土)10:00～19:0012/13(日)10:00～18:00）,0,0,,http://www.kanetaya.com,https://www.m-messe.co.jp/event/detail/6481,国内最大級6.800㎡に家具・インテリアが大集合 リビング・ダイニング・ベッドはもちろんカーテン、新作家具や新型デスク多数展示。人気のアウトレットコーナーは毎日商品を入れ替えております。,,csv,33
34,令和2年度計装士技術審査実地試験,その他,"国際会議場 コンベンションホール,小会議室203",一般社団法人日本計装工業会,2020-12-12,09:00,09:00,17:00,09:00～17:00,0,0,-,http://www.keiso.or.jp,https://www.m-messe.co.jp/event/detail/6393,資格試験,,csv,34
35,令和2年度就職氷河期世代を対象とした千葉県職員採用選考考査,その他,"国際会議場 コンベンションホール,国際会議室,中会議室201,国際会議場各会議室",千葉県人事委員会事務局任用課,2020-12-13,09:00,09:00,15:00,09:00～15:00,0,0,無料,https://www.pref.chiba.lg.jp/jinji/ninyou/saiyoushiken/ryuijikou.html,https://www.m-messe.co.jp/event/detail/6480,試験,,csv,35
